Crop;Organ;DVS;Fraction
barley;Roots;0;0.6
barley;Roots;0.4;0.55
barley;Roots;1;0
barley;Roots;2;0
barley;Stems;0;0
barley;Stems;0.33;0
barley;Stems;0.8;0.6
barley;Stems;1;0.9
barley;Stems;1.01;0.15
barley;Stems;2;0
barley;Leaves;0;1
barley;Leaves;0.33;1
barley;Leaves;0.8;0.4
barley;Leaves;1;0.1
barley;Leaves;1.01;0
barley;Leaves;2;0
barley;StorageOrgans;0;0
barley;StorageOrgans;0.8;0
barley;StorageOrgans;1;0
barley;StorageOrgans;1.01;0.85
barley;StorageOrgans;2;1
Cassava;Roots;0;0.03
Cassava;Roots;2;0
Cassava;Stems;0;0.25
Cassava;Stems;1;0.4
Cassava;Stems;1.29;0.29
Cassava;Stems;2;0.29
Cassava;Leaves;0;0.75
Cassava;Leaves;1;0.6
Cassava;Leaves;1.29;0.16
Cassava;Leaves;2;0.16
Cassava;StorageOrgans;0;0
Cassava;StorageOrgans;1;0
Cassava;StorageOrgans;1.29;0.55
Cassava;StorageOrgans;2;0.55
chickpea;Roots;0;0.4
chickpea;Roots;0.45;0.05
chickpea;Roots;0.95;0.05
chickpea;Roots;1.25;0.18
chickpea;Roots;1.55;0
chickpea;Roots;2;0
chickpea;Stems;0;0.4
chickpea;Stems;1.13;0.4
chickpea;Stems;1.2;0.32
chickpea;Stems;1.27;0.29
chickpea;Stems;1.72;0.18
chickpea;Stems;1.84;0.15
chickpea;Stems;1.97;0
chickpea;Stems;2;0
chickpea;Leaves;0;0.6
chickpea;Leaves;1.13;0.6
chickpea;Leaves;1.2;0.6
chickpea;Leaves;1.27;0.55
chickpea;Leaves;1.72;0.12
chickpea;Leaves;1.84;0
chickpea;Leaves;1.97;0
chickpea;Leaves;2;0
chickpea;StorageOrgans;0;0
chickpea;StorageOrgans;1.13;0
chickpea;StorageOrgans;1.2;0.08
chickpea;StorageOrgans;1.27;0.16
chickpea;StorageOrgans;1.72;0.7
chickpea;StorageOrgans;1.84;0.85
chickpea;StorageOrgans;1.97;1
chickpea;StorageOrgans;2;1
cotton;Roots;0;0.33
cotton;Roots;1.6;0
cotton;Roots;2;0
cotton;Stems;0;0.4
cotton;Stems;0.9;0.4
cotton;Stems;1.03;0.5
cotton;Stems;1.7;0.1
cotton;Stems;1.77;0
cotton;Stems;2;0
cotton;Leaves;0;0.6
cotton;Leaves;0.9;0.6
cotton;Leaves;1.03;0.5
cotton;Leaves;1.7;0
cotton;Leaves;1.77;0
cotton;Leaves;2;0
cotton;StorageOrgans;0;0
cotton;StorageOrgans;0.9;0
cotton;StorageOrgans;1.03;0
cotton;StorageOrgans;1.7;0.9
cotton;StorageOrgans;1.77;1
cotton;StorageOrgans;2;1
cowpea;Roots;0;0.65
cowpea;Roots;1.2;0
cowpea;Roots;2;0
cowpea;Stems;0;0
cowpea;Stems;0.6;0
cowpea;Stems;0.95;0.39
cowpea;Stems;1.5;0.28
cowpea;Stems;1.7;0
cowpea;Stems;2;0
cowpea;Leaves;0;1
cowpea;Leaves;0.6;1
cowpea;Leaves;0.95;0.61
cowpea;Leaves;1.5;0
cowpea;Leaves;1.7;0
cowpea;Leaves;2;0
cowpea;StorageOrgans;0;0
cowpea;StorageOrgans;0.6;0
cowpea;StorageOrgans;0.95;0
cowpea;StorageOrgans;1.5;0.72
cowpea;StorageOrgans;1.7;1
cowpea;StorageOrgans;2;1
faba_bean;Roots;0;0.5
faba_bean;Roots;0.54;0.3
faba_bean;Roots;1;0.2
faba_bean;Roots;1.2;0
faba_bean;Roots;2;0
faba_bean;Stems;0;0.5
faba_bean;Stems;0.54;0.4
faba_bean;Stems;1;0.5
faba_bean;Stems;1.2;0.25
faba_bean;Stems;1.42;0.14
faba_bean;Stems;1.51;0.01
faba_bean;Stems;1.71;0
faba_bean;Stems;2;0
faba_bean;Leaves;0;0.5
faba_bean;Leaves;0.54;0.6
faba_bean;Leaves;1;0.25
faba_bean;Leaves;1.2;0.04
faba_bean;Leaves;1.42;0.02
faba_bean;Leaves;1.51;0
faba_bean;Leaves;2;0
faba_bean;StorageOrgans;0;0
faba_bean;StorageOrgans;0.54;0
faba_bean;StorageOrgans;1;0.25
faba_bean;StorageOrgans;1.2;0.71
faba_bean;StorageOrgans;1.42;0.84
faba_bean;StorageOrgans;1.51;0.99
faba_bean;StorageOrgans;1.71;1
faba_bean;StorageOrgans;2;1
groundnut;Roots;0;0.2
groundnut;Roots;0.2;0.08
groundnut;Roots;1.5;0
groundnut;Roots;2;0
groundnut;Stems;0;0.5
groundnut;Stems;1;0.5
groundnut;Stems;1.1;0.4
groundnut;Stems;1.3;0.56
groundnut;Stems;1.6;0.32
groundnut;Stems;1.7;0.15
groundnut;Stems;2;0.15
groundnut;Leaves;0;0.5
groundnut;Leaves;1;0.5
groundnut;Leaves;1.1;0.5
groundnut;Leaves;1.3;0.34
groundnut;Leaves;1.6;0.1
groundnut;Leaves;1.7;0.1
groundnut;Leaves;2;0.1
groundnut;StorageOrgans;0;0
groundnut;StorageOrgans;1;0
groundnut;StorageOrgans;1.1;0.1
groundnut;StorageOrgans;1.3;0.1
groundnut;StorageOrgans;1.6;0.58
groundnut;StorageOrgans;1.7;0.75
groundnut;StorageOrgans;2;0.75
grain_maize;Roots;0;0.4
grain_maize;Roots;0.1;0.37
grain_maize;Roots;0.2;0.34
grain_maize;Roots;0.3;0.31
grain_maize;Roots;0.4;0.27
grain_maize;Roots;0.5;0.23
grain_maize;Roots;0.6;0.19
grain_maize;Roots;0.7;0.15
grain_maize;Roots;0.8;0.1
grain_maize;Roots;0.9;0.06
grain_maize;Roots;1;0
grain_maize;Roots;2;0
grain_maize;Stems;0;0.38
grain_maize;Stems;0.33;0.38
grain_maize;Stems;0.88;0.85
grain_maize;Stems;0.95;0.85
grain_maize;Stems;1.1;0.4
grain_maize;Stems;1.2;0
grain_maize;Stems;2;0
grain_maize;Leaves;0;0.62
grain_maize;Leaves;0.33;0.62
grain_maize;Leaves;0.88;0.15
grain_maize;Leaves;0.95;0.15
grain_maize;Leaves;1.1;0.1
grain_maize;Leaves;1.2;0
grain_maize;Leaves;2;0
grain_maize;StorageOrgans;0;0
grain_maize;StorageOrgans;0.95;0
grain_maize;StorageOrgans;1.1;0.5
grain_maize;StorageOrgans;1.2;1
grain_maize;StorageOrgans;2;1
millet_bulrush;Roots;0;0.6
millet_bulrush;Roots;1;0.14
millet_bulrush;Roots;1.3;0
millet_bulrush;Roots;2;0
millet_bulrush;Stems;0;0.2
millet_bulrush;Stems;0.2;0.2
millet_bulrush;Stems;1.13;0.88
millet_bulrush;Stems;1.3;0.64
millet_bulrush;Stems;1.6;0
millet_bulrush;Stems;2;0
millet_bulrush;Leaves;0;0.8
millet_bulrush;Leaves;0.2;0.8
millet_bulrush;Leaves;1.13;0.12
millet_bulrush;Leaves;1.3;0
millet_bulrush;Leaves;1.6;0
millet_bulrush;Leaves;2;0
millet_bulrush;StorageOrgans;0;0
millet_bulrush;StorageOrgans;0.2;0
millet_bulrush;StorageOrgans;1.13;0
millet_bulrush;StorageOrgans;1.3;0.36
millet_bulrush;StorageOrgans;1.6;1
millet_bulrush;StorageOrgans;2;1
mungbean;Roots;0;0.45
mungbean;Roots;1.45;0
mungbean;Roots;2;0.03
mungbean;Stems;0;0.35
mungbean;Stems;1;0.35
mungbean;Stems;1.15;0.48
mungbean;Stems;1.45;0.39
mungbean;Stems;1.6;0.16
mungbean;Stems;2;0
mungbean;Leaves;0;0.65
mungbean;Leaves;1;0.65
mungbean;Leaves;1.15;0.45
mungbean;Leaves;1.45;0.06
mungbean;Leaves;1.6;0.04
mungbean;Leaves;2;0
mungbean;StorageOrgans;0;0
mungbean;StorageOrgans;1;0
mungbean;StorageOrgans;1.15;0.07
mungbean;StorageOrgans;1.45;0.55
mungbean;StorageOrgans;1.6;0.8
mungbean;StorageOrgans;2;1
pigeon_pea;Roots;0;0.3
