DOY,Date,Rain [mm],Radiation [MJ/m2],Tmean [C],RelHum [%]
1,01.01.2007,6.2,2.42784,8.1,76.4125
2,02.01.2007,2.8,1.49472,4.05,87.62083333
3,03.01.2007,0,1.6848,5.9,86.809375
4,04.01.2007,2.8,1.84032,8.6,81.03229167
5,05.01.2007,0,0.95904,8.55,84.0875
6,06.01.2007,3.3,1.1232,10.15,90.79270833
7,07.01.2007,1,3.1536,8.45,77.14895833
8,08.01.2007,0.5,1.96128,8.85,75.14791667
9,09.01.2007,0.1,1.6416,12.35,74.87604167
10,10.01.2007,1.6,3.18816,10.5,69.7
11,11.01.2007,15,0.80352,7.3,75.17604167
12,12.01.2007,0,2.6352,9.45,70.83645833
13,13.01.2007,0.3,1.40832,11.05,80.88020833
14,14.01.2007,0,5.52096,7.3,71.93958333
15,15.01.2007,0,5.79744,4.65,81.23333333
16,16.01.2007,0,3.05856,5.6,83.11041667
17,17.01.2007,3.1,2.98944,9.05,82.24166667
18,18.01.2007,13.2,0.91584,11.7,79.99270833
19,19.01.2007,8.1,3.11904,9.9,76.74270833
20,20.01.2007,1.2,2.02176,10.85,75.82916667
21,21.01.2007,0.8,5.7024,5.7,68.71145833
22,22.01.2007,0,7.18848,1.25,79.33541667
23,23.01.2007,0,10.43712,-2.55,59.171875
24,24.01.2007,0,8.5104,-2.1,76.45111111
25,25.01.2007,0,2.22912,-1.65,76.596875
26,26.01.2007,0,2.25504,-1.75,79.92708333
27,27.01.2007,0.8,3.35232,3.3,89.62916667
28,28.01.2007,0.3,1.26144,4.6,85.95520833
29,29.01.2007,0.3,1.53792,7.35,92.53958333
30,30.01.2007,0,2.02176,6.45,94.48958333
31,31.01.2007,0,5.63328,7.45,78.95384615
32,01.02.2007,0.4,2.45376,7.35,96.33125
33,02.02.2007,0,0.87264,7.85,94.23645833
34,03.02.2007,0,2.88576,5.3,89.49166667
35,04.02.2007,0,3.64608,4.6,91.43333333
36,05.02.2007,0.7,1.48608,1.65,94.64895833
37,06.02.2007,3.1,4.7088,2.25,91.43645833
38,07.02.2007,0.5,3.1536,0.15,95.00104167
39,08.02.2007,2,3.22272,2,90.48645833
40,09.02.2007,0,3.56832,4.05,76.325
41,10.02.2007,1,3.10176,5,92.18854167
42,11.02.2007,2.8,3.00672,8.35,82.75416667
43,12.02.2007,6.1,4.31136,8.6,81.10833333
44,13.02.2007,5.3,2.70432,6.9,83.76979167
45,14.02.2007,7.1,1.48608,5.55,89.45520833
46,15.02.2007,0,9.00288,6.45,78.77604167
47,16.02.2007,0,8.83008,5.8,73.51770833
48,17.02.2007,0,8.17344,7,64.05625
49,18.02.2007,0,2.35008,2.75,94.85729167
50,19.02.2007,0,3.07584,4.3,90.934375
51,20.02.2007,0,8.61408,5.85,86.165625
52,21.02.2007,0.4,6.5232,7.6,83.91875
53,22.02.2007,0,9.35712,7.45,79.35104167
54,23.02.2007,0.1,6.44544,8.75,77.64479167
55,24.02.2007,1.2,4.47552,9.9,82.265625
56,25.02.2007,2.7,5.46912,8.1,79.95104167
57,26.02.2007,2.4,2.02176,6.75,88.43333333
58,27.02.2007,4.1,3.21408,7.65,87.42083333
59,28.02.2007,1.4,5.52096,9.95,70.76979167
60,01.03.2007,3.4,8.44128,8.8,71.825
61,02.03.2007,0.3,9.72864,6.35,69.02395833
62,03.03.2007,6,1.63296,6.65,84.403125
63,04.03.2007,0.1,12.77856,7.85,73.30625
64,05.03.2007,1.2,9.31392,9.45,67.13854167
65,06.03.2007,0,4.33728,9.4,65.01458333
66,07.03.2007,2.6,5.7456,8.15,77.26666667
67,08.03.2007,0,10.60128,7.9,81.29375
68,09.03.2007,9.7,5.47776,7.15,83.75104167
69,10.03.2007,0,14.03136,6.45,79.11666667
70,11.03.2007,0,15.02496,8.6,70.940625
71,12.03.2007,0,15.62112,8.6,67.69375
72,13.03.2007,0,14.11776,7.95,75.33541667
73,14.03.2007,0,15.336,9.25,70.81145833
74,15.03.2007,0,15.28416,7.8,75.03125
75,16.03.2007,0,8.54496,6.95,76.084375
76,17.03.2007,0,3.18816,8.9,85.40833333
77,18.03.2007,3.7,3.04128,6.4,74.80416667
78,19.03.2007,0.1,13.67712,3.6,77.88958333
79,20.03.2007,2,9.69408,2.95,91.090625
80,21.03.2007,0.8,10.00512,4.1,79.68541667
81,22.03.2007,10.5,0.88128,3.6,89.07916667
82,23.03.2007,0.4,2.79936,4.1,84.10625
83,24.03.2007,0,1.92672,6.6,85.99270833
84,25.03.2007,0,14.58432,9.6,62.115625
85,26.03.2007,0,17.99712,11.35,54.83020833
86,27.03.2007,0,17.98848,10.25,54.40104167
87,28.03.2007,0,18.25632,10.2,51.36041667
88,29.03.2007,2.3,9.8496,8.65,78.459375
89,30.03.2007,0,11.05056,9.3,80.58020833
90,31.03.2007,0.5,11.90592,11.3,65.90520833
91,01.04.2007,0,18.77472,11.55,47.01666667
92,02.04.2007,0,17.59968,11.55,55.4375
93,03.04.2007,0.4,8.38944,7.55,75.12916667
94,04.04.2007,0,20.02752,8.15,60.24166667
95,05.04.2007,0,18.63648,6.5,72.22708333
96,06.04.2007,0,20.27808,10.45,73.203125
97,07.04.2007,0,7.29216,7.8,69.18645833
98,08.04.2007,0,20.85696,8.1,71.01875
99,09.04.2007,0,16.59744,9.85,66.09791667
100,10.04.2007,0,10.13472,11.1,71.053125
101,11.04.2007,0,16.19136,12.15,67.79791667
102,12.04.2007,0,21.17664,14.4,66.13229167
103,13.04.2007,0,18.55872,17.15,62.459375
104,14.04.2007,0,21.9888,18.55,57.275
105,15.04.2007,0,23.04288,17.8,53.89270833
106,16.04.2007,0,23.13792,17.45,55.55
107,17.04.2007,0,15.8544,13.4,70.08645833
108,18.04.2007,0,14.41152,9.05,66.96354167
109,19.04.2007,0,22.68,10.05,62.85729167
110,20.04.2007,0,22.61952,9.35,63.06458333
111,21.04.2007,0,23.23296,8.65,60.03645833
112,22.04.2007,0,24.1488,13.45,57.259375
113,23.04.2007,0,20.35584,15.4,60.740625
114,24.04.2007,0,18.90432,18.15,60.04895833
115,25.04.2007,0,20.88288,20.15,61.490625
116,26.04.2007,0,23.4144,18.45,60.64479167
117,27.04.2007,0,23.55264,17.8,57.39895833
118,28.04.2007,0,23.89824,18.25,57.94791667
119,29.04.2007,0,22.4208,17.4,58.734375
120,30.04.2007,0,26.55072,14.45,40.66875
121,01.05.2007,0,26.2224,13.55,47.80833333
122,02.05.2007,0,26.87904,13.75,41.30104167
123,03.05.2007,0,26.0928,13.6,54.384375
124,04.05.2007,0,21.50496,15.55,53.68333333
125,05.05.2007,0,22.56768,17.55,49.078125
126,06.05.2007,0,23.2416,14.55,64.684375
127,07.05.2007,0.9,5.99616,15,78.63854167
128,08.05.2007,4.3,13.20192,13.75,72.45520833
129,09.05.2007,7.2,5.59008,12.1,91.225
130,10.05.2007,0,13.84992,16.4,69.67916667
131,11.05.2007,0.4,14.54112,14.45,63.8125
132,12.05.2007,3.3,16.62336,14.45,71.078125
133,13.05.2007,3.2,14.11776,17,75.05625
134,14.05.2007,5.7,17.1072,15.35,66.29583333
135,15.05.2007,8.1,20.67552,12.55,76.23541667
136,16.05.2007,6.7,8.32896,12.15,83.26770833
137,17.05.2007,3.1,9.17568,10.6,87.209375
138,18.05.2007,0,24.39936,13.65,76.35416667
139,19.05.2007,3.3,11.58624,16.85,78.753125
140,20.05.2007,0.5,18.78336,18.65,73.003125
141,21.05.2007,0.2,23.112,19.75,84.14791667
142,22.05.2007,6.8,19.5696,20.1,86.08125
143,23.05.2007,0.1,14.7312,18.75,76.70833333
144,24.05.2007,0,24.31296,20.05,74.96770833
145,25.05.2007,0.7,21.2112,20.9,79.625
146,26.05.2007,5.5,24.08832,18.1,84.86458333
147,27.05.2007,3.8,11.09376,15.5,85.21145833
148,28.05.2007,6.9,4.22496,12.15,90.83541667
149,29.05.2007,0,7.97472,10.05,80.20729167
150,30.05.2007,0,24.9696,11.3,59.81875
151,31.05.2007,15.8,15.5952,14.75,84.44583333
152,01.06.2007,0.3,10.80864,14.25,86.02873563
153,02.06.2007,0.1,19.04256,16.9,72.14270833
154,03.06.2007,0,13.3488,17.35,79.525
155,04.06.2007,0,14.67072,18.7,78.175
156,05.06.2007,0,21.06432,19.2,71.840625
157,06.06.2007,0.1,24.61536,19.1,70.7
158,07.06.2007,0,21.35808,22.2,73.359375
159,08.06.2007,0,24.90912,23.3,71.20833333
160,09.06.2007,0.1,15.00768,19.4,86.28958333
161,10.06.2007,0.1,16.70112,19.4,81.76875
162,11.06.2007,1.9,24.39936,19.95,77.525
163,12.06.2007,0,11.05056,17.7,87.29270833
164,13.06.2007,0,23.27616,19.35,69.38333333
165,14.06.2007,1.9,14.50656,20.6,81.94270833
166,15.06.2007,0.4,12.21696,19.7,77.96354167
167,16.06.2007,0.6,19.872,17,71.0125
168,17.06.2007,1.6,26.2224,18.75,62.48020833
169,18.06.2007,12.6,20.61504,19.45,77.73854167
170,19.06.2007,0.2,29.0304,20.3,69.90416667
171,20.06.2007,5.2,15.0336,21,78.16145833
172,21.06.2007,11.8,4.64832,16.25,94.54395604
173,22.06.2007,1,15.08544,16.8,81.996875
174,23.06.2007,2.1,18.144,16.6,78.8875
175,24.06.2007,7.5,17.74656,20.4,68.89375
176,25.06.2007,3.3,9.94464,17.15,76.42708333
177,26.06.2007,10.1,13.11552,13.35,77.71875
178,27.06.2007,0,22.0752,13.15,65.20208333
179,28.06.2007,2.2,15.75936,14.65,73.42604167
180,29.06.2007,0.8,7.18848,15.65,76.64375
181,30.06.2007,0,10.4544,16.05,77.69166667
182,01.07.2007,0,18.9648,20.8,71.578125
183,02.07.2007,0,16.96032,18.05,74.28541667
184,03.07.2007,7.5,9.504,15.65,87.91770833
185,04.07.2007,15.2,12.36384,14.6,89.909375
186,05.07.2007,5.2,13.9536,15.55,88.32083333
187,06.07.2007,1.2,13.84992,16.1,66.36354167
188,07.07.2007,0,24.41664,16.95,64.63020833
189,08.07.2007,0,24.95232,16.9,60.69375
190,09.07.2007,1,15.552,16.25,73.79270833
191,10.07.2007,0.9,21.02112,16.05,75.040625
192,11.07.2007,2.2,13.66848,15.05,82.20208333
193,12.07.2007,0.5,15.91488,16.4,80.96875
194,13.07.2007,0.6,15.06816,21.2,78.39270833
195,14.07.2007,0,23.26752,23.8,63.32916667
196,15.07.2007,0.1,22.9392,25.2,59.32083333
197,16.07.2007,0,25.6608,26.2,47.34895833
198,17.07.2007,0,27.33696,21.7,57.39583333
199,18.07.2007,0.3,21.00384,20,61.11458333
200,19.07.2007,1.1,11.99232,17,78.2875
201,20.07.2007,0.1,16.00128,19.05,79.66354167
202,21.07.2007,0,20.29536,18.1,64.075
203,22.07.2007,2.1,21.07296,17.7,64.00416667
204,23.07.2007,1.1,7.31808,14.7,81.08125
205,24.07.2007,9.5,10.78272,16.55,83.00833333
206,25.07.2007,0,22.61088,18.05,64.69479167
207,26.07.2007,0,21.40128,20.95,58.090625
208,27.07.2007,0,21.15936,19.7,57.76979167
209,28.07.2007,15.5,13.29696,18.55,79.74166667
210,29.07.2007,12.8,6.61824,15.45,85.80520833
211,30.07.2007,0.2,15.62976,13.15,75.56145833
212,31.07.2007,0,20.35584,13.55,69.05
213,01.08.2007,0,26.08416,15.8,62.10416667
214,02.08.2007,4.8,6.37632,16,87.21770833
215,03.08.2007,0,22.27392,17.05,71.96979167
216,04.08.2007,0,25.65216,18.45,65.69479167
217,05.08.2007,0,26.53344,21.25,58.09270833
218,06.08.2007,5.8,20.58912,22.75,66.10729167
219,07.08.2007,4.3,5.17536,16.85,95.48229167
220,08.08.2007,3.2,4.38048,15.55,87.15104167
221,09.08.2007,50,1.65888,15,97.10208333
222,10.08.2007,4.7,4.20768,17.5,96.76979167
223,11.08.2007,0,21.1248,17.55,77.01666667
224,12.08.2007,0,21.47904,17.5,72.45520833
225,13.08.2007,0,23.26752,18.45,66.334375
226,14.08.2007,4.1,19.29312,19.1,64.2625
227,15.08.2007,16.1,9.14976,20.8,80.54895833
228,16.08.2007,0.5,17.70336,17.5,73.1
229,17.08.2007,0.1,18.75744,15.85,68.33854167
230,18.08.2007,0,14.35968,16.05,72.66875
231,19.08.2007,0.4,14.73984,18.6,77.71458333
232,20.08.2007,2,8.65728,16.35,81.90520833
233,21.08.2007,22.1,9.9792,14.8,89.68229167
234,22.08.2007,8.1,3.87072,16.5,90.21458333
235,23.08.2007,0.9,16.42464,19.3,77.546875
236,24.08.2007,0,21.19392,19.95,75.16458333
237,25.08.2007,0,19.1808,19.4,82.23020833
238,26.08.2007,0,17.17632,19.35,80.62916667
239,27.08.2007,0,14.07456,15.7,73.45520833
240,28.08.2007,0,10.03968,14.1,73.79270833
241,29.08.2007,0,16.58016,13.6,63.090625
242,30.08.2007,0,15.69888,12.25,73.57395833
243,31.08.2007,0.5,6.25536,16.2,86.87708333
244,01.09.2007,0.3,11.00736,16.05,80.81041667
245,02.09.2007,0,9.03744,16.15,75.20729167
246,03.09.2007,6.2,10.81728,15,74.58229167
247,04.09.2007,0,15.2928,12.65,70.32708333
248,05.09.2007,0.1,11.48256,10.7,77.63020833
249,06.09.2007,0.2,8.62272,16.3,81.84583333
250,07.09.2007,0,5.79744,15.45,82.77291667
251,08.09.2007,0,5.90112,14.5,87.18229167
252,09.09.2007,0.2,7.91424,13.65,79.6375
253,10.09.2007,3.8,5.94432,13.3,88.43125
254,11.09.2007,0,6.98976,14.15,83.73854167
255,12.09.2007,0,11.47392,13.7,80.20416667
256,13.09.2007,0,10.64448,13.75,78.934375
257,14.09.2007,0,16.26912,14.1,74.81875
258,15.09.2007,0,16.51968,14.15,74.271875
259,16.09.2007,0,15.60384,14.7,70.81145833
260,17.09.2007,2.8,7.8624,16.3,81.134375
