"";"Timestep";"DVS";"W";"dW";"LAI";"WRoots";"WLeaves";"WStems";"WStorageOrgans";"FRoot";"FLeaves";"FStems";"FStorageOrgans";"FAll";"TRANRF";"froot";"fshoot"
"1";0;0;10;1,95677630596746;0,12;5;3,25;1,25;0;0,5;0,325;0,175;0;1;1;1;0,5
"2";1;0,0126875;11,9567763059675;2,78251228705836;0,130962;5,97838815298373;3,88595229943943;1,59243585354431;0;0,5;0,325;0,175;0;1;1;1;0,5
"3";2;0,0281875;14,7392885930258;2,69706148333682;0,1455773592;7,36964429651291;4,79026879273339;2,07937550377952;0;0,5;0,325;0,175;0;1;1;1;0,5
"4";3;0,047125;17,4363500763627;3,60656711664769;0,16542683212692;8,71817503818133;5,66681377481786;2,55136126336346;0;0,5;0,325;0,175;0;1;1;1;0,5
"5";4;0,0678125;21,0429171930103;4,30588692441013;0,190067158772225;10,5214585965052;6,83894808772836;3,18251050877681;0;0,5;0,325;0,175;0;1;1;1;0,5
"6";5;0,0875625;25,3488041174205;4,89307199497895;0,217094708749635;12,6744020587102;8,23836133816165;3,93604072054858;0;0,5;0,325;0,175;0;1;1;1;0,5
"7";6;0,106875;30,2418761123994;3,77994614610733;0,247281728001272;15,1209380561997;9,82860973652981;4,7923283196699;0;0,493125;0,330630338541667;0,176244661458333;0;1;1;1;0,506875
"8";7;0,121125;34,0218222585068;3,75598624428314;0,272652833294202;16,9849239994989;11,0783746104865;5,45852364852132;0;0,478875;0,342400838541667;0,178724161458333;0;1;1;1;0,521125
"9";8;0,1299375;37,7778085027899;6,24929389011152;0,289952655566719;18,78357191223;12,3644274500801;6,12980914047986;0;0,4700625;0,349747709635417;0,180189790364583;0;1;1;1;0,5299375
"10";9;0,14;44,0271023929014;6,6369270675386;0,310959725462528;21,7211306214505;14,5501036749852;7,25586809646572;0;0,46;0,3582;0,1818;0;1;1;1;0,54
"11";10;0,1491875;50,66402946044;7,21766799358664;0,331529711301874;24,7741170725183;16,9274509505775;8,46246143734424;0;0,4508125;0,36597626171875;0,18321123828125;0;1;1;1;0,5491875
"12";11;0,1575;57,8816974540267;7,89834855146607;0,351371764523292;28,0279320248771;19,5689461011974;9,78481932795219;0;0,4425;0,373060416666667;0,184439583333333;0;1;1;1;0,5575
"13";12;0,1718125;65,7800460054927;7,25534539665689;0,387580624857417;31,5229512589008;22,5155073027859;11,241587443806;0;0,4281875;0,38536588671875;0,18644661328125;0;1;1;1;0,5718125
"14";13;0,1885625;73,0353914021496;7,43388696144614;0,434322848215221;34,6295994659318;25,3114699150194;12,5943220211984;0;0,4114375;0,39994048046875;0,18862201953125;0;1;1;1;0,5885625
"15";14;0,20875;80,4692783635957;9,21103363860147;0,497451674203304;37,6881793326318;28,2845822381305;13,9965167928334;0;0,3895;0,418955625;0,191544375;0;1;1;1;0,6105
"16";15;0,2314375;89,6803120021972;11,6985860263991;0,578710405184413;41,2758769348671;32,1435965930868;15,7608384742433;0;0,362275;0,4424615765625;0,1952634234375;0;1;1;1;0,637725
"17";16;0,252;101,378898028596;13,1391963048539;0,664388480671966;45,5139821875808;37,3197714098794;18,0451444311361;0;0,3376;0,46262016;0,19977984;0;1;1;1;0,6624
"18";17;0,27175;114,51809433345;14,7728393571766;0,758864522623519;49,9497748600995;43,3982285067023;20,6700909666484;0;0,3139;0,46833186;0,21776814;0;1;1;1;0,6861
"19";18;0,2920625;129,290933690627;15,6848139027518;0,897236349296074;54,5869691343172;50,31681984033;23,8871447159795;0;0,289525;0,47342501625;0,23704998375;0;1;1;1;0,710475
"20";19;0,3113125;144,975747593379;6,20169989191382;1,04574801483184;59,1281148795114;57,7424031171185;27,6052295967486;0;0,33303125;0,4341633078125;0,2328054421875;0;1;0,3;1,25;0,66696875
"21";20;0,326875;151,177447485292;6,33495500554444;1,09959902561452;61,1934747466404;60,4349536562523;29,0490190823998;0;0,3096875;0,44076453125;0,24954796875;0;1;0,3;1,25;0,6903125
"22";21;0,3413125;157,512402490837;6,70835243889013;1,15544349508469;63,1553311249199;63,2271771297609;30,629894236156;0;0,28803125;0,4463688078125;0,2655999421875;0;1;0,3;1,25;0,71196875
"23";22;0,356;164,220754929727;6,72682890520376;1,21533148069536;65,087546263334;66,2215764102943;32,4116322560986;0;0,2675;0,450634;0,281866;0;1;0,3;1,25;0,7325
"24";23;0,3705;170,947583834931;5,71580171133782;1,27595823703271;66,886972995476;69,2529142271619;34,3076966122928;0;0,249375;0,45307725;0,29754775;0;1;0,3;1,25;0,750625
"25";24;0,3874375;176,663385546269;6,14628480267872;1,32775223145108;68,3123510472409;71,8426139480802;36,0084205509475;0;0,228203125;0,45539874609375;0,31639812890625;0;1;0,3;1,25;0,771796875
"26";25;0,406875;182,809670348947;6,48849259980675;1,38373243929658;69,7149524463522;74,6416243403551;37,95309356224;0;0,2090625;0,45439359375;0,33654390625;0;1;0,3;1,25;0,7909375
"27";26;0,4225625;189,298162948754;1,7154013475419;1,44269902870551;71,0714529304993;77,5899538108016;40,1367562074532;0;0,20121875;0,4488751234375;0,3499061265625;0;1;0,3;1,25;0,79878125
"28";27;0,4388125;191,013564296296;3,80005189927753;1,45809904853796;71,4166238454;78,3599548024243;40,7369856484716;0;0,19309375;0,4429511859375;0,3639550640625;0;1;0,3;1,25;0,80690625
"29";28;0,4535;194,813616195573;1,63016521604566;1,49176379844614;72,1503901168261;80,0431922978334;42,120033780914;0;0,18575;0,4374151;0,3768349;0;1;0,3;1,25;0,81425
"30";29;0,466125;196,443781411619;4,06066843007929;1,506024976066;72,4531933057065;80,7562511788265;42,7343369270861;0;0,1794375;0,43251849375;0,38804400625;0;1;0,3;1,25;0,8205625
"31";30;0,484125;200,504449841698;4,31870423155473;1,54115125992592;73,1818294971289;82,5125653718226;44,3100549727469;0;0,1704375;0,42531669375;0,40424580625;0;1;0,3;1,25;0,8295625
"32";31;0,4996875;204,823154073253;5,00169874652232;1,5778876000269;73,9178986495945;84,3493823768716;46,055873046787;0;0,16265625;0,4188812109375;0,4184625390625;0;1;0,3;1,25;0,83734375
"33";32;0,51525;209,824852819775;4,30865625792172;1,61978995258066;74,7314562113335;86,4445000045594;48,1488966038825;0;0,15678125;0,404463927083333;0,438754822916667;0;1;0,3;1,25;0,84321875
"34";33;0,534;214,133509077697;5,28072290404334;1,65464387319129;75,4069727252708;88,1871960350906;50,0393403173357;0;0,14975;0,386580333333333;0,463669666666667;0;1;0,3;1,25;0,85025
