Time \ Name,DVS,W,dW,LAI,WRoots,WLeaves,WStems,WStorageOrgans,FRoot,"FLeaves
",FStems,FStorageOrgans,FAll
0,0,10,1.9568,0.12,5,3.25,1.25,0,0.5,0.3251,0.1754,0,1.0004
1,0.0127,11.9568,2.7825,0.131,5.9784,3.8861,1.5932,0,0.5,0.3251,0.1754,0,1.0004
2,0.0282,14.7393,2.6971,0.1456,7.3696,4.7906,2.0811,0,0.5,0.3251,0.1754,0,1.0004
3,0.0471,17.4364,3.6066,0.1654,8.7182,5.6673,2.5541,0,0.5,0.3251,0.1754,0,1.0004
4,0.0678,21.0429,4.3059,0.1901,10.5215,6.8396,3.1866,0,0.5,0.3251,0.1754,0,1.0004
5,0.0876,25.3488,4.8931,0.2171,12.6744,8.2393,3.9418,0,0.5,0.3251,0.1754,0,1.0004
6,0.1069,30.2419,3.7799,0.2473,15.1209,9.8298,4.7999,0,0.4932,0.3307,0.1767,0,1.0006
7,0.1211,34.0218,3.756,0.2727,16.9853,11.0797,5.4678,0,0.4792,0.3423,0.1794,0,1.0009
8,0.1299,37.7778,6.2493,0.29,18.785,12.3655,6.1417,0,0.4705,0.3496,0.181,0,1.0011
9,0.14,44.0271,6.6369,0.311,21.7251,14.5504,7.2728,0,0.4605,0.358,0.1828,0,1.0013
10,0.1492,50.664,7.2177,0.3315,24.7817,16.9266,8.4858,0,0.4515,0.3657,0.1843,0,1.0016
11,0.1575,57.8817,7.8983,0.3514,28.0404,19.5665,9.8163,0,0.4381,0.3764,0.1871,0,1.0016
12,0.1718,65.78,7.2553,0.3876,31.5003,22.5393,11.2944,0,0.4139,0.3956,0.192,0,1.0016
13,0.1886,73.0354,7.4339,0.4343,34.5036,25.4094,12.6877,0,0.3857,0.4184,0.1974,0,1.0015
14,0.2087,80.4693,9.211,0.4975,37.371,28.5195,14.1555,0,0.3582,0.4415,0.2017,0,1.0015
15,0.2314,89.6803,11.6986,0.5787,40.6707,32.5864,16.0136,0,0.3369,0.4609,0.2036,0,1.0014
16,0.252,101.3789,13.1392,0.6644,44.6118,37.9788,18.3952,0,0.3173,0.4773,0.2065,0,1.0011
17,0.2717,114.5181,14.7728,0.7589,48.7805,44.2508,21.1086,0,0.296,0.4798,0.2233,0,0.9991
18,0.2921,129.2909,15.7272,0.9006,53.1531,51.3384,24.4079,0,0.2741,0.4815,0.2413,0,0.9969
19,0.3113,145.0182,20.7568,1.0521,57.464,58.9107,28.2025,0,0.2553,0.4807,0.2589,0,0.9949
20,0.3269,165.7749,22.9556,1.2516,62.7623,68.889,33.5758,0,0.2411,0.4787,0.2735,0,0.9933
21,0.3413,188.7305,25.9244,1.4714,68.2965,79.8784,39.8539,0,0.2279,0.4765,0.2874,0,0.9918
22,0.356,214.655,27.3852,1.7185,74.2057,92.231,47.304,0,0.2141,0.4748,0.302,0,0.9909
23,0.3705,242.0401,24.1823,1.9785,80.0692,105.2336,55.5743,0,0.1998,0.4742,0.317,0,0.991
24,0.3874,266.2225,26.6342,2.2079,84.9011,116.7003,63.2406,0,0.1831,0.473,0.335,0,0.9911
25,0.4069,292.8566,28.6314,2.4598,89.7779,129.2988,72.163,0,0.1679,0.4693,0.3547,0,0.9919
26,0.4226,321.4881,7.6624,2.7286,94.5851,142.736,82.3172,0,0.1615,0.4634,0.3685,0,0.9934
27,0.4388,329.1504,17.0127,2.7996,95.8223,146.2866,85.1409,0,0.1548,0.4571,0.3831,0,0.995
28,0.4535,346.1631,7.3255,2.9551,98.4561,154.063,91.6578,0,0.1488,0.4515,0.396,0,0.9963
29,0.4661,353.4886,18.2684,3.0212,99.5464,157.3701,94.559,0,0.1439,0.447,0.4064,0,0.9973
30,0.4841,371.757,19.4644,3.1846,102.1746,165.5366,101.9837,0,0.1368,0.4406,0.4214,0,0.9987
31,0.4997,391.2215,22.5553,3.3561,104.8367,174.1121,110.1859,0,0.1306,0.4349,0.4345,0,1
32,0.5152,413.7767,19.4149,3.5523,107.7829,183.9206,119.9858,0,0.1252,0.4184,0.4537,0,0.9972
33,0.534,433.1916,23.7554,3.7147,110.2132,192.0429,128.7938,0,0.1186,0.3979,0.4772,0,0.9937
34,0.5507,456.9471,28.9959,3.9037,113.0315,201.4946,140.1301,0,0.1129,0.3794,0.4984,0,0.9906
35,0.5639,485.943,11.7968,4.1237,116.304,212.4949,154.5819,0,0.1093,0.365,0.5153,0,0.9896
36,0.5766,497.7397,13.0409,4.2099,117.5929,216.8006,160.6612,0,0.1058,0.351,0.5317,0,0.9886
37,0.5873,510.7806,34.7968,4.3014,118.9726,221.3782,167.5955,0,0.1029,0.3391,0.5457,0,0.9877
38,0.6019,545.5774,16.6539,4.5374,122.5517,233.1778,186.5847,0,0.0989,0.323,0.5652,0,0.9871
39,0.6204,562.2313,27.0842,4.645,124.1985,238.5573,195.9968,0,0.0938,0.3041,0.5934,0,0.9913
40,0.6413,589.3155,33.4719,4.8097,126.7393,246.7925,212.0698,0,0.0881,0.2825,0.6255,0,0.9962
41,0.6634,622.7874,28.4673,4.9988,129.689,256.2494,233.0064,0,0.0817,0.26,0.6594,0,1.0011
42,0.6861,651.2547,21.4947,5.1468,132.0136,263.6501,251.7783,0,0.0748,0.2371,0.694,0,1.0059
43,0.707,672.7494,35.5442,5.2488,133.6212,268.7461,266.6964,0,0.0691,0.2164,0.7235,0,1.009
44,0.7296,708.2936,31.092,5.4026,136.0764,276.4366,292.4136,0,0.0643,0.1955,0.7493,0,1.0091
45,0.7532,739.3855,35.3765,5.5242,138.075,282.5151,315.7112,0,0.0593,0.1731,0.7764,0,1.0089
46,0.7733,774.762,16.3211,5.6466,140.1732,288.6391,343.1787,0,0.0553,0.1522,0.7991,0,1.0066
47,0.7902,791.0831,6.2199,5.6963,141.0764,291.1233,356.221,0,0.052,0.1345,0.8182,0,1.0048
48,0.8029,797.303,11.7428,5.713,141.3999,291.9601,361.3103,0,0.0496,0.1218,0.8324,0,1.0038
49,0.8129,809.0458,36.7814,5.7417,141.9818,293.3906,371.0848,0,0.0477,0.1135,0.8428,0,1.004
50,0.8246,845.8272,22.9963,5.8251,143.737,297.5643,402.0845,0,0.0456,0.1038,0.8549,0,1.0043
51,0.8405,868.8235,15.9472,5.8729,144.7857,299.951,421.7439,0,0.0427,0.0904,0.8715,0,1.0047
52,0.8558,884.7707,28.105,5.9017,145.4667,301.3932,435.6424,0,0.0397,0.0781,0.8875,0,1.0053
53,0.8744,912.8757,19.7113,5.9456,146.5835,303.5877,460.5853,0,0.0358,0.0641,0.9068,0,1.0066
54,0.8936,932.587,21.6693,5.9709,147.2887,304.8502,478.4592,0,0.0317,0.0495,0.9268,0,1.008
55,0.9145,954.2563,31.1201,5.9923,147.9757,305.9224,498.5421,0,0.0284,0.0317,0.9459,0,1.006
56,0.936,985.3764,36.374,6.012,148.8586,306.9101,527.9783,0,0.0254,0.0126,0.9644,0,1.0024
57,0.9574,1021.7504,31.5638,6.0212,149.7837,307.3667,563.0569,0,0.0226,0,0.8332,0.1442,1
58,0.9826,1053.3142,36.8116,6.0212,150.4978,307.3667,589.3562,0,0.0196,0,0.3407,0.6397,1
59,1.0093,1090.1258,22.1789,6.0212,151.2178,307.3667,601.898,0,0.0166,0,0,0.9834,1
60,1.0262,1112.3048,24.6317,5.8405,151.5862,307.3667,601.898,21.8106,0.0151,0,0,0.9849,1
61,1.0431,1136.9364,35.9053,5.6653,151.9573,307.3667,601.898,46.0711,0.0135,0,0,0.9865,1
62,1.0607,1172.8417,16.222,5.4954,152.4429,307.3667,601.898,81.4909,0.0121,0,0,0.9879,1
63,1.0757,1189.0637,34.0777,5.3305,152.6389,307.3667,601.898,97.5168,0.011,0,0,0.989,1
