Time \ Name,DVS,W,LAI,dW
0,0,10,0.12,1.9568
1,0.0127,11.9568,0.131,2.7825
2,0.0282,14.7393,0.1456,2.6971
3,0.0471,17.4364,0.1654,3.6066
4,0.0678,21.0429,0.1901,4.3059
5,0.0876,25.3488,0.2171,4.8931
6,0.1069,30.2419,0.2473,3.7799
7,0.1211,34.0218,0.2727,3.756
8,0.1299,37.7778,0.29,6.2493
9,0.14,44.0271,0.311,6.6369
10,0.1492,50.664,0.3315,7.2177
11,0.1575,57.8817,0.3514,7.8983
12,0.1718,65.78,0.3876,7.2553
13,0.1886,73.0354,0.4343,7.4339
14,0.2087,80.4693,0.4975,9.211
15,0.2314,89.6803,0.5787,11.6986
16,0.252,101.3789,0.6644,13.1392
17,0.2717,114.5181,0.7589,14.7728
18,0.2921,129.2909,0.8549,15.1448
19,0.3113,144.4358,0.9533,19.3923
20,0.3269,163.828,1.0794,20.8568
21,0.3413,184.6849,1.2149,23.0938
22,0.356,207.7787,1.3651,24.0861
23,0.3705,231.8648,1.5216,21.1389
24,0.3874,253.0037,1.659,23.2535
25,0.4069,276.2571,1.8102,25.0437
26,0.4226,301.3008,1.973,6.7339
27,0.4388,308.0347,2.0167,14.9764
28,0.4535,323.0111,2.1141,6.4761
29,0.4661,329.4872,2.1562,16.1824
30,0.4841,345.6695,2.2613,17.3322
31,0.4997,363.0017,2.374,20.2025
32,0.5152,383.2042,2.5053,17.5104
33,0.534,400.7146,2.6191,21.5584
34,0.5507,422.273,2.7593,26.5185
35,0.5639,448.7915,2.9316,10.8886
36,0.5766,459.68,3.0024,12.0809
37,0.5873,471.761,3.0809,32.3641
38,0.6019,504.1251,3.2913,15.6437
39,0.6204,519.7688,3.393,25.5546
40,0.6413,545.3234,3.5591,31.7976
41,0.6634,577.121,3.7658,27.2513
42,0.6861,604.3724,3.9429,20.6983
43,0.707,625.0707,4.0775,34.3688
44,0.7296,659.4395,4.3009,30.2494
45,0.7532,689.6889,4.4975,34.5814
46,0.7733,724.2703,4.7223,16.0303
47,0.7902,740.3006,4.8265,6.1213
48,0.8029,746.4219,4.8662,11.5654
49,0.8129,757.9873,4.9414,36.276
50,0.8246,794.2634,5.1772,22.7688
51,0.8405,817.0322,5.3252,15.823
52,0.8558,832.8552,5.4281,27.9246
53,0.8744,860.7798,5.6096,19.6286
54,0.8936,880.4084,5.7372,21.6094
55,0.9145,902.0178,5.8776,31.0803
56,0.936,933.0981,6.0796,36.3994
57,0.9574,969.4975,6.3162,31.6521
58,0.9826,1001.1496,6.522,36.9749
59,1.0093,1038.1245,6.7623,22.3135
60,1.0262,1060.438,6.7045,24.8223
61,1.0431,1085.2603,6.6647,36.2544
62,1.0607,1121.5147,6.7004,16.4236
63,1.0757,1137.9383,6.6061,34.5717
64,1.0925,1172.51,6.6327,21.5503
65,1.1109,1194.0603,6.5738,18.1415
66,1.1282,1212.2018,6.4945,29.4918
67,1.1423,1241.6936,6.4913,38.9154
68,1.1585,1280.609,6.5495,30.6069
69,1.1755,1311.216,6.552,43.1019
70,1.1935,1354.3179,6.6356,22.3337
71,1.2123,1376.6516,6.5817,6.9029
72,1.2255,1383.5544,6.4291,22.3769
73,1.2394,1405.9313,6.3817,26.9036
74,1.2531,1432.8349,6.3651,26.3107
75,1.2712,1459.1456,6.3452,14.7413
76,1.2855,1473.8869,6.2507,19.4257
77,1.2953,1493.3126,6.1894,32.6779
78,1.3049,1525.9905,6.2161,23.3343
79,1.3163,1549.3249,6.1813,10.6403
80,1.3288,1559.9652,6.065,15.4569
81,1.3418,1575.4221,5.9836,28.0157
82,1.3604,1603.4378,5.9862,25.0553
83,1.3757,1628.493,5.9694,14.0376
84,1.3883,1642.5306,5.8816,18.2436
85,1.3995,1660.7742,5.8237,20.5753
86,1.412,1681.3496,5.7828,20.4122
87,1.425,1701.7617,5.7419,35.967
88,1.4391,1737.7288,5.8035,36.7844
89,1.4531,1774.5132,5.8685,22.9444
90,1.4663,1797.4576,5.8416,31.0034
91,1.4793,1828.461,5.8678,20.1655
92,1.4911,1848.6265,5.8229,23.4671
93,1.5045,1872.0936,5.8007,22.2126
94,1.5236,1894.3062,5.7711,34.287
95,1.5457,1928.5931,5.8208,33.8239
96,1.5695,1962.417,5.866,37.8573
97,1.5944,2000.2742,5.9361,40.3624
98,1.6141,2040.6367,6.0204,31.04
99,1.6317,2071.6767,6.0416,17.7265
100,1.6458,2089.4031,5.9755,23.6358
101,1.6624,2113.0389,5.9499,29.9702
102,1.6778,2143.0092,5.9662,31.1241
103,1.6927,2174.1332,5.9895,10.8113
104,1.7041,2184.9445,5.8801,15.9103
105,1.7177,2200.8549,5.8071,33.3342
106,1.7331,2234.1891,5.8496,31.5671
107,1.7518,2265.7561,5.8793,31.2211
108,1.7691,2296.9773,5.9058,19.626
109,1.7851,2316.6032,5.8562,9.7627
110,1.7974,2326.366,5.744,23.0241
111,1.807,2349.3901,5.7213,29.9773
112,1.817,2379.3673,5.7446,38.4246
113,1.8297,2417.792,5.822,9.402
114,1.8427,2427.194,5.7084,32.7964
115,1.8568,2459.9904,5.7504,37.7911
116,1.8727,2497.7815,5.8235,39.1248
117,1.8918,2536.9063,5.9031,30.3881
118,1.9127,2567.2944,5.9235,7.6402
119,1.9266,2574.9346,5.7955,6.457
120,1.939,2581.3916,5.6636,2.4411
121,1.9508,2583.8327,5.5095,6.1781
122,1.9655,2590.0108,5.3844,30.9561
123,1.9803,2620.9669,5.4241,31.4955
124,1.995,2652.4625,5.4661,34.1408
125,2.0108,2686.6032,5.524,0
